Title,Author,length
The Watsons Go to Birmingham: 1963,By: Christopher Paul Curtis,Length: 4 hrs and 55 mins
Consciousness and the Brain,By: Stanislas Dehaene,Length: 11 hrs and 17 mins
Universe in Flames Megabox- Ultimate 7-Book Box Set,By: Christian Kallias,Length: 64 hrs and 56 mins
The Convenience Series: Books 1-3,By: Stella Gray,Length: 20 hrs and 3 mins
The Girl Before Me,By: Laura Wolfe,Length: 9 hrs and 29 mins
Winterset Hollow,By: Jonathan Edward Durham,Length: 9 hrs and 1 min
22 Seconds,"By: James Patterson, Maxine Paetro",Length: 8 hrs and 16 mins
Nona the Ninth,By: Tamsyn Muir,Length: 11 hrs and 15 mins
Doctor Scandalous,"By: J. Saman, Julie Saman",Length: 10 hrs and 58 mins
Refuse to Be Done,By: Matt Bell,Length: 3 hrs and 44 mins
Reality+,By: David J. Chalmers,Length: 17 hrs and 12 mins
Fiery (but Mostly Peaceful),By: Julio Rosas,Length: 5 hrs and 27 mins
Dark Angel,"By: Brian Andrews, Jeffrey Wilson",Length: 11 hrs and 10 mins
Bittersweet,By: Susan Cain,Length: 7 hrs and 35 mins
The Trapped Ones,By: Stacy Green,Length: 8 hrs and 19 mins
